"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1","1","Antenna","","","","RF_Antenna:Texas_SWRA117D_2.4GHz_Right","~"
"C1","1","10nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C2","1","33nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C3","1","1nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4","1","22pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C5","1","22pF","","","","Capacitor_SMD:C_01005_0402Metric","~"
"C6","1","2.2nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7","1","1.5pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C8,C9","2","4.7pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C10,C11","2","Cx","","","","Capacitor_SMD:C_0402_1005Metric","~"
"J1","1","Conn_01x08_Pin","","","","Connector_Hirose:Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical","~"
"L1","1","8nH","","","","Inductor_SMD:L_0402_1005Metric","~"
"L2","1","3.9nH","","","","Inductor_SMD:L_0402_1005Metric","~"
"L3","1","2.7nH","","","","Inductor_SMD:L_0402_1005Metric","~"
"L4","1","Lx","","","","Inductor_SMD:L_0402_1005Metric","~"
"R1","1","22K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2","1","10M","","","","Resistor_SMD:R_0402_1005Metric","~"
"U1","1","NRF24L01","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf"
"Y1","1","16MHz","","","","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","~"
